x,y
0.0193,3.7402
0.0262,3.9302
0.0331,3.973
0.04,4.0939
0.0469,4.2065
0.0538,4.2703
0.0607,4.3133
0.0676,4.3494
0.0745,4.3656
0.0814,4.3657
0.0883,4.3874
0.0952,4.4132
0.1021,4.4012
0.109,4.3774
0.1159,4.3456
0.1228,4.3076
0.1297,4.2442
0.1366,4.2097
0.1435,4.1507
0.1504,4.0325
0.1573,3.9034
0.1642,4.0092
0.1711,3.6942
0.178,3.5591
0.1849,3.7321
0.1918,3.3916
0.1987,3.2798
0.2056,3.0854
0.2125,3.1546
0.2194,2.9258
0.2263,2.9301
0.2332,2.8944
0.2401,2.8233
0.247,2.7595
0.2539,2.6022
0.2608,2.5476
0.2677,2.479
0.2746,2.397
0.2816,2.3702
0.2885,2.3257
0.2954,2.302
0.3023,2.2879
0.3092,2.2779
0.3161,2.2726
0.323,2.2719
0.3299,2.2723
0.3368,2.2801
0.3437,2.302
0.3506,2.4276
0.3575,2.5034
0.3644,2.5336
0.3713,2.5992
0.3782,2.6907
0.3851,2.7622
0.392,2.9035
0.3989,2.9543
0.4058,3.0058
0.4127,3.2367
0.4196,3.3253
0.4265,3.4404
0.4334,3.4845
0.4403,3.5793
0.4472,3.7322
0.4541,3.8403
0.461,3.9546
0.4679,4.0665
0.4748,4.1967
0.4817,4.3358
0.4886,4.4679
0.4955,4.623
0.5024,4.6775
0.5093,4.7262
0.5162,4.799
0.5231,4.8323
0.53,4.8649
0.5369,4.8854
0.5438,4.9005
0.5507,4.9079
0.5576,4.9064
0.5645,4.9005
0.5714,4.8892
0.5783,4.8378
0.5852,4.7932
0.5921,4.7605
0.599,4.7386
0.6059,4.6675
0.6128,4.5446
0.6197,4.4324
0.6266,4.3282
0.6335,4.2721
0.6404,4.2481
0.6473,4.0326
0.6542,3.8583
0.6611,3.8
0.6681,3.7195
0.675,3.557
0.6819,3.3231
0.6888,3.2628
0.6957,3.1186
0.7026,2.9847
0.7095,2.9037
0.7164,2.8432
0.7233,2.748
0.7302,2.6463
0.7371,2.5497
0.744,2.4547
0.7509,2.379
0.7578,2.3052
0.7647,2.1329
0.7716,2.0913
0.7785,2.065
0.7854,1.955
0.7923,1.932
0.7992,1.918
0.8061,1.8891
0.813,1.8567
0.8199,1.839
0.8268,1.8247
0.8337,1.8154
0.8406,1.813
0.8475,1.8407
0.8544,1.8802
0.8613,1.9151
0.8682,1.9519
0.8751,1.9851
0.882,2.0336
0.8889,2.1286
